code	label	version
0100	Armed Forces	isco_1988
0110	Armed Forces	isco_1988
1000	Legislators Senior Officials and Managers	isco_1988
1100	Legislators and Senior Officials	isco_1988
1110	Legislators	isco_1988
1120	Senior Government Officials	isco_1988
1130	Traditional Chiefs and Heads of Villages	isco_1988
1140	Senior Officials of Special-Interest Organisations	isco_1988
1141	Senior officials of political-party organisations	isco_1988
1142	Senior officials of employers' workers' and other economic-interest organisations	isco_1988
1143	Senior officials of humanitarian and other special-interest organisations	isco_1988
1200	Corporate Managers	isco_1988
1210	Directors and Chief Executives	isco_1988
1220	Production and Operations Department Managers	isco_1988
1221	Production and operations department managers in agriculture hunting forestry and fishing	isco_1988
1222	Production and operations department managers in manufacturing	isco_1988
1223	Production and operations department managers in construction	isco_1988
1224	Production and operations department managers in wholesale and retail trade	isco_1988
1225	Production and operations department managers in restaurants and hotels	isco_1988
1226	Production and operations department managers in transport storage and communications	isco_1988
1227	Production and operations department managers in business services	isco_1988
1228	Production and operations department managers in personal care cleaning and related services	isco_1988
1229	Production and operations department managers not elsewhere classified	isco_1988
1230	Other Department Managers	isco_1988
1231	Finance and administration department managers	isco_1988
1232	Personnel and industrial relations department managers	isco_1988
1233	Sales and marketing department managers	isco_1988
1234	Advertising and public relations department managers	isco_1988
1235	Supply and distribution department managers	isco_1988
1236	Computing services department managers	isco_1988
1237	Research and development department managers	isco_1988
1239	Other department managers not elsewhere classified	isco_1988
1300	General Managers	isco_1988
1310	General Managers	isco_1988
1311	General managers in agriculture hunting forestry/ and fishing	isco_1988
1312	General managers in manufacturing	isco_1988
1313	General managers in construction	isco_1988
1314	General managers in wholesale and retail trade	isco_1988
1315	General managers of restaurants and hotels	isco_1988
1316	General managers in transport storage and communications	isco_1988
1317	General managers of business services	isco_1988
1318	General managers in personal care cleaning and related services	isco_1988
1319	General managers not elsewhere classified	isco_1988
2000	Professionals	isco_1988
2100	Physical Mathematical and Engineering Science Professionals	isco_1988
2110	Physicists Chemists and Related Professionals	isco_1988
2111	Physicists and astronomers	isco_1988
2112	Meteorologists	isco_1988
2113	Chemists	isco_1988
2114	Geologists and geophysicists	isco_1988
2120	Mathematicians Statisticians and Related Professionals	isco_1988
2121	Mathematicians and related professionals	isco_1988
2122	Statisticians	isco_1988
2130	Computing Professionals	isco_1988
2131	Computer systems designers and analysts	isco_1988
2132	Computer programmers	isco_1988
2139	Computing professionals not elsewhere classified	isco_1988
2140	Architects Engineers and Related Professionals	isco_1988
2141	Architects town and traffic planners	isco_1988
2142	Civil engineers	isco_1988
2143	Electrical engineers	isco_1988
2144	Electronics and telecommunications engineers	isco_1988
2145	Mechanical engineers	isco_1988
2146	Chemical engineers	isco_1988
2147	Mining engineers metallurgists and related professionals	isco_1988
2148	Cartographers and surveyors	isco_1988
2149	Architects engineers and related professionals not elsewhere classified	isco_1988
2200	Life Science and Health Professionals	isco_1988
2210	Life Science Professionals	isco_1988
2211	Biologists botanists zoologists and related professionals	isco_1988
2212	Pharmacologists pathologists and related professionals	isco_1988
2213	Agronomists and related professionals	isco_1988
2220	Health Professionals (Except Nursing)	isco_1988
2221	Medical doctors	isco_1988
2222	Dentists	isco_1988
2223	Veterinarians	isco_1988
2224	Pharmacists	isco_1988
2229	Health professionals (except nursing) not elsewhere classified	isco_1988
2230	Nursing and Midwifery Professionals	isco_1988
2300	Teaching Professionals	isco_1988
2310	College University and Higher Education Teaching Professionals	isco_1988
2320	Secondary Education Teaching Professionals	isco_1988
2330	Primary and Pre-Primary Education Teaching Professionals	isco_1988
2331	Primary education teaching professionals	isco_1988
2332	Pre-primary education teaching professionals	isco_1988
2340	Special Education Teaching Professionals	isco_1988
2350	Other Teaching Professionals	isco_1988
2351	Education methods specialists	isco_1988
2352	School inspectors	isco_1988
2359	Other teaching professionals not elsewhere classified	isco_1988
2400	Other Professionals	isco_1988
2410	Business Professionals	isco_1988
2411	Accountants	isco_1988
2412	Personnel and careers professionals	isco_1988
2419	Business professionals not elsewhere classified	isco_1988
2420	Legal Professionals	isco_1988
2421	Lawyers	isco_1988
2422	Judges	isco_1988
2429	Legal professionals not elsewhere classified	isco_1988
2430	Archivists Librarians and Related Information Professionals	isco_1988
2431	Archivists and curators	isco_1988
2432	Librarians and related information professionals	isco_1988
2440	Social Science and Related Professionals	isco_1988
2441	Economists	isco_1988
2442	Sociologists anthropologists and related professionals	isco_1988
2443	Philosophers historians and political scientists	isco_1988
2444	Philologists translators and interpreters	isco_1988
2445	Psychologists	isco_1988
2446	Social work professionals	isco_1988
2450	Writers and Creative or Performing Artists	isco_1988
2451	Authors journalists and other writers	isco_1988
2452	Sculptors painters and related artists	isco_1988
2453	Composers musicians and singers	isco_1988
2454	Choreographers and dancers	isco_1988
2455	Film stage and related actors and directors	isco_1988
2460	Religious Professionals	isco_1988
3000	Technicians and Associate Professionals	isco_1988
3100	Physical and Engineering Science Associate Professionals	isco_1988
3110	Physical and Engineering Science Technicians	isco_1988
3111	Chemical and physical science technicians	isco_1988
3112	Civil engineering technicians	isco_1988
3113	Electrical engineering technicians	isco_1988
3114	Electronics and telecommunications engineering technicians	isco_1988
3115	Mechanical engineering technicians	isco_1988
3116	Chemical engineering technicians	isco_1988
3117	Mining and metallurgical technicians	isco_1988
3118	Draughtspersons	isco_1988
3119	Physical and engineering science technicians not elsewhere classified	isco_1988
