isco_08_4dig;isco_08_1dig;isco_08_2dig;isco_08_3dig
7221;7;72;722
7222;7;72;722
7223;7;72;722
7224;7;72;722
7231;7;72;723
7232;7;72;723
7233;7;72;723
7234;7;72;723
7311;7;73;731
7312;7;73;731
7313;7;73;731
7314;7;73;731
7315;7;73;731
7316;7;73;731
7317;7;73;731
7318;7;73;731
7319;7;73;731
7321;7;73;732
7322;7;73;732
7323;7;73;732
7411;7;74;741
7412;7;74;741
7413;7;74;741
7421;7;74;742
7422;7;74;742
7511;7;75;751
7512;7;75;751
7513;7;75;751
7514;7;75;751
7515;7;75;751
7516;7;75;751
7521;7;75;752
7522;7;75;752
7523;7;75;752
7531;7;75;753
7532;7;75;753
7533;7;75;753
7534;7;75;753
7535;7;75;753
7536;7;75;753
7541;7;75;754
7542;7;75;754
7543;7;75;754
7544;7;75;754
7549;7;75;754
8111;8;81;811
8112;8;81;811
8113;8;81;811
8114;8;81;811
8121;8;81;812
8122;8;81;812
8131;8;81;813
8132;8;81;813
8141;8;81;814
8142;8;81;814
8143;8;81;814
8151;8;81;815
8152;8;81;815
8153;8;81;815
8154;8;81;815
8155;8;81;815
8156;8;81;815
8157;8;81;815
8159;8;81;815
8160;8;81;816
8171;8;81;817
8172;8;81;817
8181;8;81;818
8182;8;81;818
8183;8;81;818
8189;8;81;818
8211;8;82;821
8212;8;82;821
8219;8;82;821
8311;8;83;831
8312;8;83;831
8321;8;83;832
8322;8;83;832
8331;8;83;833
8332;8;83;833
8341;8;83;834
8342;8;83;834
8343;8;83;834
8344;8;83;834
8350;8;83;835
9111;9;91;911
9112;9;91;911
9121;9;91;912
9122;9;91;912
9123;9;91;912
9129;9;91;912
9211;9;92;921
9212;9;92;921
9213;9;92;921
9214;9;92;921
9215;9;92;921
9216;9;92;921
9311;9;93;931
9312;9;93;931
9313;9;93;931
9321;9;93;932
9329;9;93;932
9331;9;93;933
9332;9;93;933
9333;9;93;933
9334;9;93;933
9411;9;94;941
9412;9;94;941
9510;9;95;951
9520;9;95;952
9611;9;96;961
9612;9;96;961
9613;9;96;961
9621;9;96;962
9622;9;96;962
9623;9;96;962
9624;9;96;962
9629;9;96;962
