isic_rev31_4dig;isic_rev31_secdig;isic_rev31_1dig;isic_rev31_2dig;isic_rev31_3dig
2915;"D";2;29;291
2919;"D";2;29;291
2921;"D";2;29;292
2922;"D";2;29;292
2923;"D";2;29;292
2924;"D";2;29;292
2925;"D";2;29;292
2926;"D";2;29;292
2927;"D";2;29;292
2929;"D";2;29;292
2930;"D";2;29;293
3000;"D";3;30;300
3110;"D";3;31;311
3120;"D";3;31;312
3130;"D";3;31;313
3140;"D";3;31;314
3150;"D";3;31;315
3190;"D";3;31;319
3210;"D";3;32;321
3220;"D";3;32;322
3230;"D";3;32;323
3311;"D";3;33;331
3312;"D";3;33;331
3313;"D";3;33;331
3320;"D";3;33;332
3330;"D";3;33;333
3410;"D";3;34;341
3420;"D";3;34;342
3430;"D";3;34;343
3511;"D";3;35;351
3512;"D";3;35;351
3520;"D";3;35;352
3530;"D";3;35;353
3591;"D";3;35;359
3592;"D";3;35;359
3599;"D";3;35;359
3610;"D";3;36;361
3691;"D";3;36;369
3692;"D";3;36;369
3693;"D";3;36;369
3694;"D";3;36;369
3699;"D";3;36;369
3710;"D";3;37;371
3720;"D";3;37;372
4010;"E";4;40;401
4020;"E";4;40;402
4030;"E";4;40;403
4100;"E";4;41;410
4510;"F";4;45;451
4520;"F";4;45;452
4530;"F";4;45;453
4540;"F";4;45;454
4550;"F";4;45;455
5010;"G";5;50;501
5020;"G";5;50;502
5030;"G";5;50;503
5040;"G";5;50;504
5050;"G";5;50;505
5110;"G";5;51;511
5121;"G";5;51;512
5122;"G";5;51;512
5131;"G";5;51;513
5139;"G";5;51;513
5141;"G";5;51;514
5142;"G";5;51;514
5143;"G";5;51;514
5149;"G";5;51;514
5151;"G";5;51;515
5152;"G";5;51;515
5159;"G";5;51;515
5190;"G";5;51;519
5211;"G";5;52;521
5219;"G";5;52;521
5220;"G";5;52;522
5231;"G";5;52;523
5232;"G";5;52;523
5233;"G";5;52;523
5234;"G";5;52;523
5239;"G";5;52;523
5240;"G";5;52;524
5251;"G";5;52;525
5252;"G";5;52;525
5259;"G";5;52;525
5260;"G";5;52;526
5510;"H";5;55;551
5520;"H";5;55;552
6010;"I";6;60;601
6021;"I";6;60;602
6022;"I";6;60;602
6023;"I";6;60;602
6030;"I";6;60;603
6110;"I";6;61;611
6120;"I";6;61;612
6210;"I";6;62;621
6220;"I";6;62;622
6301;"I";6;63;630
6302;"I";6;63;630
6303;"I";6;63;630
6304;"I";6;63;630
6309;"I";6;63;630
6411;"I";6;64;641
6412;"I";6;64;641
6420;"I";6;64;642
6511;"J";6;65;651
6519;"J";6;65;651
6591;"J";6;65;659
6592;"J";6;65;659
6599;"J";6;65;659
6601;"J";6;66;660
6602;"J";6;66;660
6603;"J";6;66;660
6711;"J";6;67;671
6712;"J";6;67;671
6719;"J";6;67;671
6720;"J";6;67;672
7010;"K";7;70;701
7020;"K";7;70;702
7111;"K";7;71;711
7112;"K";7;71;711
7113;"K";7;71;711
7121;"K";7;71;712
7122;"K";7;71;712
7123;"K";7;71;712
7129;"K";7;71;712
7130;"K";7;71;713
7210;"K";7;72;721
7221;"K";7;72;722
7229;"K";7;72;722
7230;"K";7;72;723
7240;"K";7;72;724
7250;"K";7;72;725
7290;"K";7;72;729
7310;"K";7;73;731
7320;"K";7;73;732
7411;"K";7;74;741
7412;"K";7;74;741
7413;"K";7;74;741
7414;"K";7;74;741
7421;"K";7;74;742
7422;"K";7;74;742
7430;"K";7;74;743
7491;"K";7;74;749
7492;"K";7;74;749
7493;"K";7;74;749
7494;"K";7;74;749
7495;"K";7;74;749
7499;"K";7;74;749
7511;"L";7;75;751
7512;"L";7;75;751
7513;"L";7;75;751
7514;"L";7;75;751
7521;"L";7;75;752
7522;"L";7;75;752
7523;"L";7;75;752
7530;"L";7;75;753
8010;"M";8;80;801
8021;"M";8;80;802
8022;"M";8;80;802
8030;"M";8;80;803
8090;"M";8;80;809
8511;"N";8;85;851
8512;"N";8;85;851
8519;"N";8;85;851
8520;"N";8;85;852
8531;"N";8;85;853
8532;"N";8;85;853
9000;"O";9;90;900
9111;"O";9;91;911
9112;"O";9;91;911
9120;"O";9;91;912
9191;"O";9;91;919
9192;"O";9;91;919
9199;"O";9;91;919
9211;"O";9;92;921
9212;"O";9;92;921
9213;"O";9;92;921
9214;"O";9;92;921
9219;"O";9;92;921
9220;"O";9;92;922
9231;"O";9;92;923
9232;"O";9;92;923
9233;"O";9;92;923
9241;"O";9;92;924
9249;"O";9;92;924
9301;"O";9;93;930
9302;"O";9;93;930
9303;"O";9;93;930
9309;"O";9;93;930
9500;"P";9;95;950
9600;"P";9;96;960
9700;"P";9;97;970
9900;"Q";9;99;990
