"Code","Label","Version"
"2152","electronics engineers","isco_2008"
"2153","telecommunications engineers","isco_2008"
"2161","building architects","isco_2008"
"2162","landscape architects","isco_2008"
"2163","product and garment designers","isco_2008"
"2164","town and traffic planners","isco_2008"
"2165","cartographers and surveyors","isco_2008"
"2166","graphic and multimedia designers","isco_2008"
"2211","generalist medical practitioners ","isco_2008"
"2212","specialist medical practitioners ","isco_2008"
"2221","nursing professionals","isco_2008"
"2222","midwifery professionals","isco_2008"
"2261","dentists","isco_2008"
"2262","pharmacists","isco_2008"
"2263","environmental and occupational health and hygiene professionals","isco_2008"
"2264","physiotherapists ","isco_2008"
"2265","dieticians and nutritionists","isco_2008"
"2266","audiologists and speech therapists","isco_2008"
"2267","optometrists and ophthalmic opticians","isco_2008"
"2269","health professionals not elsewhere classified","isco_2008"
"2341","primary school teachers","isco_2008"
"2342","early childhood educators","isco_2008"
"2351","education methods specialists","isco_2008"
"2352","special needs teachers","isco_2008"
"2353","other language teachers","isco_2008"
"2354","other music teachers","isco_2008"
"2355","other arts teachers","isco_2008"
"2356","information technology trainers","isco_2008"
"2359","teaching professionals not elsewhere classified","isco_2008"
"2411","accountants","isco_2008"
"2412","financial and investment advisers","isco_2008"
"2413","financial analysts","isco_2008"
"2421","management and organization analysts","isco_2008"
"2422","policy administration professionals","isco_2008"
"2423","personnel and careers professionals","isco_2008"
"2424","training and staff development professionals","isco_2008"
"2431","advertising and marketing professionals","isco_2008"
"2432","public relations professionals","isco_2008"
"2433","technical and medical sales professionals (excluding ict)","isco_2008"
"2434","information and communications technology sales professionals","isco_2008"
"2511","systems analysts","isco_2008"
"2512","software developers","isco_2008"
"2513","web and multimedia developers","isco_2008"
"2514","applications programmers","isco_2008"
"2519","software and applications developers and analysts not elsewhere classified","isco_2008"
"2521","database designers and administrators","isco_2008"
"2522","systems administrators","isco_2008"
"2523","computer network professionals","isco_2008"
"2529","database and network professionals not elsewhere classified","isco_2008"
"2611","lawyers","isco_2008"
"2612","judges","isco_2008"
"2619","legal professionals not elsewhere classified","isco_2008"
"2621","archivists and curators","isco_2008"
"2622","librarians and related information professionals","isco_2008"
"2631","economists","isco_2008"
"2632","sociologists, anthropologists and related professionals","isco_2008"
"2633","philosophers, historians and political scientists","isco_2008"
"2634","psychologists","isco_2008"
"2635","social work and counselling professionals","isco_2008"
"2636","religious professionals","isco_2008"
"2641","authors and related writers","isco_2008"
"2642","journalists","isco_2008"
"2643","translators, interpreters and other linguists","isco_2008"
"2651","visual artists","isco_2008"
"2652","musicians, singers and composers","isco_2008"
"2653","dancers and choreographers","isco_2008"
"2654","film, stage and related directors and producers","isco_2008"
"2655","actors","isco_2008"
"2656","announcers on radio, television and other media","isco_2008"
"2659","creative and performing artists not elsewhere classified","isco_2008"
"3111","chemical and physical science technicians","isco_2008"
"3112","civil engineering technicians","isco_2008"
"3113","electrical engineering technicians","isco_2008"
"3114","electronics engineering technicians","isco_2008"
"3115","mechanical engineering technicians","isco_2008"
"3116","chemical engineering technicians","isco_2008"
"3117","mining and metallurgical technicians","isco_2008"
"3118","draughtspersons","isco_2008"
"3119","physical and engineering science technicians not elsewhere classified","isco_2008"
"3121","mining supervisors","isco_2008"
"3122","manufacturing supervisors","isco_2008"
"3123","construction supervisors","isco_2008"
"3131","power production plant operators","isco_2008"
"3132","incinerator and water treatment plant operators","isco_2008"
"3133","chemical processing plant controllers","isco_2008"
"3134","petroleum and natural gas refining plant operators","isco_2008"
"3135","metal production process controllers","isco_2008"
"3139","process control technicians not elsewhere classified","isco_2008"
"3141","life science technicians (excluding medical)","isco_2008"
"3142","agricultural technicians","isco_2008"
"3143","forestry technicians","isco_2008"
"3151","ships’ engineers","isco_2008"
"3152","ships’ deck officers and pilots","isco_2008"
"3153","aircraft pilots and related associate professionals","isco_2008"
"3154","air traffic controllers","isco_2008"
"3155","air traffic safety electronics technicians","isco_2008"
"3211","medical imaging and therapeutic equipment technicians","isco_2008"
