isic_rev4_4dig;isic_rev4_secdig;isic_rev2_4dig;isic_rev2_secdig
3821;"E";3512;"D"
2013;"C";3513;
2030;"C";3513;
2219;"C";3513;
2220;"C";3513;
2610;"C";3513;
2733;"C";3513;
2812;"C";3513;
3290;"C";3513;
3314;"C";3513;
3319;"C";3513;
2022;"C";3521;
2100;"C";3522;
3250;"C";3522;
2023;"C";3523;
1079;"C";3529;
1399;"C";3529;
1512;"C";3529;
1629;"C";3529;
1709;"C";3529;
2011;"C";3529;
2022;"C";3529;
2023;"C";3529;
2029;"C";3529;
2219;"C";3529;
2220;"C";3529;
2520;"C";3529;
2599;"C";3529;
2610;"C";3529;
2680;"C";3529;
2817;"C";3529;
2829;"C";3529;
3030;"C";3529;
3040;"C";3529;
3092;"C";3529;
3212;"C";3529;
3290;"C";3529;
3311;"C";3529;
3312;"C";3529;
1920;"C";3530;"D"
510;"B";3540;
520;"B";3540;
990;"B";3540;
1312;"C";3540;
1399;"C";3540;
1512;"C";3540;
1629;"C";3540;
1709;"C";3540;
1910;"C";3540;
1920;"C";3540;
2029;"C";3540;
2219;"C";3540;
2220;"C";3540;
2399;"C";3540;
2599;"C";3540;
2829;"C";3540;
3092;"C";3540;
3212;"C";3540;
3290;"C";3540;
3312;"C";3540;
3319;"C";3540;
2211;"C";3551;
2219;"C";3551;
2220;"C";3551;
2812;"C";3551;
3290;"C";3551;
3319;"C";3551;
1079;"C";3559;
1512;"C";3559;
1520;"C";3559;
1629;"C";3559;
2011;"C";3559;
2029;"C";3559;
2219;"C";3559;
2220;"C";3559;
2610;"C";3559;
2640;"C";3559;
2680;"C";3559;
2720;"C";3559;
2812;"C";3559;
2817;"C";3559;
2829;"C";3559;
3011;"C";3559;
3012;"C";3559;
3230;"C";3559;
3240;"C";3559;
3290;"C";3559;
3312;"C";3559;
3314;"C";3559;
3315;"C";3559;
3319;"C";3559;
3830;"E";3559;
1079;"C";3560;
1392;"C";3560;
1399;"C";3560;
1512;"C";3560;
1520;"C";3560;
1629;"C";3560;
1709;"C";3560;
2011;"C";3560;
2029;"C";3560;
2219;"C";3560;
2220;"C";3560;
2599;"C";3560;
2610;"C";3560;
2680;"C";3560;
2720;"C";3560;
2733;"C";3560;
2811;"C";3560;
2817;"C";3560;
2829;"C";3560;
2930;"C";3560;
3011;"C";3560;
3020;"C";3560;
3030;"C";3560;
3092;"C";3560;
3100;"C";3560;
3212;"C";3560;
3230;"C";3560;
3290;"C";3560;
3312;"C";3560;
3314;"C";3560;
3319;"C";3560;
3830;"E";3560;
9524;"S";3560;
2392;"C";3610;"D"
2393;"C";3610;"D"
2310;"C";3620;
2599;"C";3620;
2630;"C";3620;
2651;"C";3620;
2733;"C";3620;
2740;"C";3620;
2790;"C";3620;
2822;"C";3620;
2930;"C";3620;
3020;"C";3620;
3313;"C";3620;
3314;"C";3620;
3319;"C";3620;
2391;"C";3691;"D"
2392;"C";3691;"D"
2394;"C";3692;"D"
892;"B";3699;"D"
990;"B";3699;"D"
1312;"C";3699;"D"
1399;"C";3699;"D"
1512;"C";3699;"D"
1629;"C";3699;"D"
1709;"C";3699;"D"
2029;"C";3699;"D"
2219;"C";3699;"D"
2220;"C";3699;"D"
2310;"C";3699;"D"
2391;"C";3699;"D"
2395;"C";3699;"D"
2396;"C";3699;"D"
2399;"C";3699;"D"
2420;"C";3699;"D"
2599;"C";3699;"D"
2630;"C";3699;"D"
2651;"C";3699;"D"
2733;"C";3699;"D"
2740;"C";3699;"D"
2790;"C";3699;"D"
2822;"C";3699;"D"
2829;"C";3699;"D"
2930;"C";3699;"D"
3020;"C";3699;"D"
3092;"C";3699;"D"
3212;"C";3699;"D"
3290;"C";3699;"D"
3312;"C";3699;"D"
3313;"C";3699;"D"
3314;"C";3699;"D"
3319;"C";3699;"D"
162;"A";3710;"D"
1811;"C";3710;"D"
2410;"C";3710;"D"
2431;"C";3710;"D"
2591;"C";3710;"D"
2592;"C";3710;"D"
3020;"C";3710;"D"
3311;"C";3710;"D"
3315;"C";3710;"D"
3830;"E";3710;"D"
162;"A";3720;"D"
1811;"C";3720;"D"
2420;"C";3720;"D"
2432;"C";3720;"D"
2591;"C";3720;"D"
2592;"C";3720;"D"
3311;"C";3720;"D"
3830;"E";3720;"D"
1399;"C";3811;
1512;"C";3811;
1629;"C";3811;
1709;"C";3811;
2029;"C";3811;
2219;"C";3811;
2220;"C";3811;
2591;"C";3811;
2593;"C";3811;
2599;"C";3811;
2816;"C";3811;
2817;"C";3811;
2821;"C";3811;
2829;"C";3811;
3092;"C";3811;
3212;"C";3811;
3290;"C";3811;
3311;"C";3811;
3312;"C";3811;
3320;"C";3811;
2219;"C";3812;
2220;"C";3812;
2599;"C";3812;
2660;"C";3812;
2740;"C";3812;
2790;"C";3812;
2817;"C";3812;
2930;"C";3812;
3011;"C";3812;
3020;"C";3812;
3030;"C";3812;
3100;"C";3812;
3250;"C";3812;
3290;"C";3812;
3311;"C";3812;
3313;"C";3812;
3314;"C";3812;
3319;"C";3812;
3320;"C";3812;
9524;"S";3812;
2511;"C";3813;
2512;"C";3813;
2513;"C";3813;
2599;"C";3813;
2750;"C";3813;
2815;"C";3813;
2817;"C";3813;
2819;"C";3813;
2920;"C";3813;
3011;"C";3813;
3290;"C";3813;
3311;"C";3813;
3315;"C";3813;
3320;"C";3813;
162;"A";3819;
1399;"C";3819;
1512;"C";3819;
1629;"C";3819;
1709;"C";3819;
1811;"C";3819;
2029;"C";3819;
2219;"C";3819;
2220;"C";3819;
2410;"C";3819;
2420;"C";3819;
2431;"C";3819;
2512;"C";3819;
2591;"C";3819;
2592;"C";3819;
2593;"C";3819;
2599;"C";3819;
2630;"C";3819;
2651;"C";3819;
2733;"C";3819;
2740;"C";3819;
2750;"C";3819;
2790;"C";3819;
2811;"C";3819;
2812;"C";3819;
2813;"C";3819;
2815;"C";3819;
2817;"C";3819;
2819;"C";3819;
2821;"C";3819;
2822;"C";3819;
2826;"C";3819;
2829;"C";3819;
2930;"C";3819;
3020;"C";3819;
3092;"C";3819;
3212;"C";3819;
3250;"C";3819;
3290;"C";3819;
3311;"C";3819;
3312;"C";3819;
3313;"C";3819;
3314;"C";3819;
3320;"C";3819;
8020;"N";3819;
9512;"S";3819;
9521;"S";3819;
9522;"S";3819;
9523;"S";3819;
9524;"S";3819;
9529;"S";3819;
2811;"C";3821;
3312;"C";3821;
3320;"C";3821;
2790;"C";3822;
2811;"C";3822;
2812;"C";3822;
2813;"C";3822;
2816;"C";3822;
2818;"C";3822;
2819;"C";3822;
2821;"C";3822;
2822;"C";3822;
3312;"C";3822;
3314;"C";3822;
3320;"C";3822;
2593;"C";3823;
2651;"C";3823;
2670;"C";3823;
2790;"C";3823;
2818;"C";3823;
2819;"C";3823;
2822;"C";3823;
2823;"C";3823;
2826;"C";3823;
2829;"C";3823;
3250;"C";3823;
3311;"C";3823;
3312;"C";3823;
3313;"C";3823;
3314;"C";3823;
3319;"C";3823;
3320;"C";3823;
2513;"C";3824;
2593;"C";3824;
2599;"C";3824;
2630;"C";3824;
2651;"C";3824;
2733;"C";3824;
2740;"C";3824;
2790;"C";3824;
2811;"C";3824;
2812;"C";3824;
2813;"C";3824;
2815;"C";3824;
2816;"C";3824;
2818;"C";3824;
2819;"C";3824;
2822;"C";3824;
2823;"C";3824;
2824;"C";3824;
2825;"C";3824;
2826;"C";3824;
2829;"C";3824;
2930;"C";3824;
3011;"C";3824;
3020;"C";3824;
3250;"C";3824;
3311;"C";3824;
3312;"C";3824;
3313;"C";3824;
3314;"C";3824;
3315;"C";3824;
3320;"C";3824;
2610;"C";3825;
2620;"C";3825;
2817;"C";3825;
2819;"C";3825;
3250;"C";3825;
3312;"C";3825;
3320;"C";3825;
9511;"S";3825;
162;"A";3829;
1399;"C";3829;
1512;"C";3829;
1629;"C";3829;
1709;"C";3829;
1811;"C";3829;
2029;"C";3829;
2219;"C";3829;
2220;"C";3829;
2520;"C";3829;
2592;"C";3829;
2593;"C";3829;
2599;"C";3829;
2630;"C";3829;
2640;"C";3829;
2651;"C";3829;
2660;"C";3829;
2733;"C";3829;
2740;"C";3829;
2750;"C";3829;
2790;"C";3829;
2811;"C";3829;
2812;"C";3829;
2813;"C";3829;
2814;"C";3829;
2815;"C";3829;
2816;"C";3829;
2817;"C";3829;
2818;"C";3829;
2819;"C";3829;
2822;"C";3829;
2824;"C";3829;
2826;"C";3829;
2829;"C";3829;
2920;"C";3829;
2930;"C";3829;
3020;"C";3829;
3030;"C";3829;
3040;"C";3829;
3092;"C";3829;
3099;"C";3829;
3100;"C";3829;
3212;"C";3829;
3240;"C";3829;
3250;"C";3829;
3290;"C";3829;
3311;"C";3829;
3312;"C";3829;
3313;"C";3829;
3314;"C";3829;
3315;"C";3829;
3319;"C";3829;
3320;"C";3829;
2599;"C";3831;
2610;"C";3831;
2630;"C";3831;
2651;"C";3831;
2710;"C";3831;
2733;"C";3831;
2740;"C";3831;
2790;"C";3831;
2811;"C";3831;
2818;"C";3831;
2819;"C";3831;
2822;"C";3831;
2930;"C";3831;
3020;"C";3831;
3312;"C";3831;
3313;"C";3831;
3314;"C";3831;
3315;"C";3831;
3320;"C";3831;
1820;"C";3832;
2599;"C";3832;
2610;"C";3832;
2630;"C";3832;
2640;"C";3832;
2651;"C";3832;
2660;"C";3832;
2670;"C";3832;
2710;"C";3832;
2733;"C";3832;
2740;"C";3832;
2790;"C";3832;
2811;"C";3832;
2817;"C";3832;
2819;"C";3832;
2822;"C";3832;
2829;"C";3832;
2930;"C";3832;
3020;"C";3832;
3250;"C";3832;
3290;"C";3832;
3312;"C";3832;
3313;"C";3832;
3314;"C";3832;
3319;"C";3832;
3320;"C";3832;
5920;"J";3832;
9512;"S";3832;
9521;"S";3832;
2750;"C";3833;
2815;"C";3833;
2819;"C";3833;
2599;"C";3839;
2610;"C";3839;
2630;"C";3839;
2651;"C";3839;
2710;"C";3839;
2720;"C";3839;
2731;"C";3839;
2732;"C";3839;
2733;"C";3839;
2740;"C";3839;
2790;"C";3839;
2822;"C";3839;
2930;"C";3839;
3020;"C";3839;
3313;"C";3839;
3314;"C";3839;
2811;"C";3841;
2816;"C";3841;
3011;"C";3841;
3012;"C";3841;
3312;"C";3841;
3315;"C";3841;
3320;"C";3841;
3020;"C";3842;
3315;"C";3842;
1392;"C";3843;
2599;"C";3843;
2630;"C";3843;
2651;"C";3843;
2733;"C";3843;
2740;"C";3843;
2790;"C";3843;
2811;"C";3843;
2812;"C";3843;
2813;"C";3843;
2822;"C";3843;
2910;"C";3843;
2920;"C";3843;
2930;"C";3843;
3020;"C";3843;
3092;"C";3843;
3311;"C";3843;
3312;"C";3843;
3313;"C";3843;
3314;"C";3843;
3320;"C";3843;
2811;"C";3844;
3091;"C";3844;
3092;"C";3844;
2811;"C";3845;
2829;"C";3845;
3011;"C";3845;
3030;"C";3845;
3315;"C";3845;
1399;"C";3849;
1512;"C";3849;
1629;"C";3849;
1709;"C";3849;
2029;"C";3849;
2219;"C";3849;
2220;"C";3849;
2599;"C";3849;
2816;"C";3849;
2829;"C";3849;
3092;"C";3849;
3099;"C";3849;
3100;"C";3849;
3212;"C";3849;
3290;"C";3849;
3312;"C";3849;
3315;"C";3849;
1313;"C";3851;
1399;"C";3851;
1709;"C";3851;
2100;"C";3851;
2219;"C";3851;
2220;"C";3851;
2593;"C";3851;
2599;"C";3851;
2630;"C";3851;
2651;"C";3851;
2660;"C";3851;
2670;"C";3851;
2733;"C";3851;
2740;"C";3851;
2790;"C";3851;
2812;"C";3851;
2815;"C";3851;
2819;"C";3851;
2822;"C";3851;
2826;"C";3851;
2829;"C";3851;
2930;"C";3851;
3020;"C";3851;
3250;"C";3851;
3290;"C";3851;
3311;"C";3851;
3312;"C";3851;
3313;"C";3851;
3314;"C";3851;
3319;"C";3851;
3320;"C";3851;
2610;"C";3852;
2620;"C";3852;
2651;"C";3852;
