isco_08_4dig;isco_88_4dig;isco_08_3dig;isco_08_2dig;isco_08_1dig;isco_88_3dig;isco_88_2dig;isco_88_1dig
3411;3432;341;34;3;343;34;3
3313;3433;331;33;3;343;34;3
3313;3434;331;33;3;343;34;3
3314;3434;331;33;3;343;34;3
3332;3439;333;33;3;343;34;3
3343;3439;334;33;3;343;34;3
3359;3439;335;33;3;343;34;3
3433;3439;343;34;3;343;34;3
3351;3441;335;33;3;344;34;3
3352;3442;335;33;3;344;34;3
3353;3443;335;33;3;344;34;3
3354;3444;335;33;3;344;34;3
3359;3449;335;33;3;344;34;3
3355;3450;335;33;3;345;34;3
3411;3450;341;34;3;345;34;3
3412;3460;341;34;3;346;34;3
2163;3471;216;21;2;347;34;3
2166;3471;216;21;2;347;34;3
3432;3471;343;34;3;347;34;3
3433;3471;343;34;3;347;34;3
3435;3471;343;34;3;347;34;3
2642;3472;264;26;2;347;34;3
2656;3472;265;26;2;347;34;3
2652;3473;265;26;2;347;34;3
2653;3473;265;26;2;347;34;3
2659;3474;265;26;2;347;34;3
3421;3475;342;34;3;347;34;3
3422;3475;342;34;3;347;34;3
3423;3475;342;34;3;347;34;3
3413;3480;341;34;3;348;34;3
3341;4111;334;33;3;411;41;4
4131;4111;413;41;4;411;41;4
3341;4112;334;33;3;411;41;4
4131;4112;413;41;4;411;41;4
4132;4113;413;41;4;411;41;4
3341;4114;334;33;3;411;41;4
4132;4114;413;41;4;411;41;4
3341;4115;334;33;3;411;41;4
3342;4115;334;33;3;411;41;4
3344;4115;334;33;3;411;41;4
4120;4115;412;41;4;411;41;4
3341;4121;334;33;3;412;41;4
4311;4121;431;43;4;412;41;4
4313;4121;431;43;4;412;41;4
3341;4122;334;33;3;412;41;4
4312;4122;431;43;4;412;41;4
3341;4131;334;33;3;413;41;4
4321;4131;432;43;4;413;41;4
3341;4132;334;33;3;413;41;4
4322;4132;432;43;4;413;41;4
3341;4133;334;33;3;413;41;4
4323;4133;432;43;4;413;41;4
3341;4141;334;33;3;414;41;4
4411;4141;441;44;4;414;41;4
4415;4141;441;44;4;414;41;4
3341;4142;334;33;3;414;41;4
4412;4142;441;44;4;414;41;4
3252;4143;325;32;3;414;41;4
3341;4143;334;33;3;414;41;4
4413;4143;441;44;4;414;41;4
3341;4144;334;33;3;414;41;4
4414;4144;441;44;4;414;41;4
3341;4190;334;33;3;419;41;4
4110;4190;411;41;4;419;41;4
4227;4190;422;42;4;419;41;4
4416;4190;441;44;4;419;41;4
4419;4190;441;44;4;419;41;4
4211;4211;421;42;4;421;42;4
4212;4211;421;42;4;421;42;4
5230;4211;523;52;5;421;42;4
4211;4212;421;42;4;421;42;4
4212;4213;421;42;4;421;42;4
4213;4214;421;42;4;421;42;4
4214;4215;421;42;4;421;42;4
4221;4221;422;42;4;422;42;4
3341;4222;334;33;3;422;42;4
4222;4222;422;42;4;422;42;4
4224;4222;422;42;4;422;42;4
4225;4222;422;42;4;422;42;4
4226;4222;422;42;4;422;42;4
4229;4222;422;42;4;422;42;4
3341;4223;334;33;3;422;42;4
4223;4223;422;42;4;422;42;4
5111;5111;511;51;5;511;51;5
5112;5112;511;51;5;511;51;5
5113;5113;511;51;5;511;51;5
5151;5121;515;51;5;512;51;5
5152;5121;515;51;5;512;51;5
3434;5122;343;34;3;512;51;5
5120;5122;512;51;5;512;51;5
9411;5122;941;94;9;512;51;5
5131;5123;513;51;5;512;51;5
5132;5123;513;51;5;512;51;5
5311;5131;531;53;5;513;51;5
5312;5131;531;53;5;513;51;5
3258;5132;325;32;3;513;51;5
5321;5132;532;53;5;513;51;5
5329;5132;532;53;5;513;51;5
5322;5133;532;53;5;513;51;5
5164;5139;516;51;5;513;51;5
5329;5139;532;53;5;513;51;5
5141;5141;514;51;5;514;51;5
5142;5141;514;51;5;514;51;5
5162;5142;516;51;5;514;51;5
5163;5143;516;51;5;514;51;5
5169;5149;516;51;5;514;51;5
5161;5151;516;51;5;515;51;5
5161;5152;516;51;5;515;51;5
5411;5161;541;54;5;516;51;5
5412;5162;541;54;5;516;51;5
5413;5163;541;54;5;516;51;5
5414;5169;541;54;5;516;51;5
5419;5169;541;54;5;516;51;5
5241;5210;524;52;5;521;52;5
5222;5220;522;52;5;522;52;5
5223;5220;522;52;5;522;52;5
5242;5220;524;52;5;522;52;5
5245;5220;524;52;5;522;52;5
5246;5220;524;52;5;522;52;5
5249;5220;524;52;5;522;52;5
5211;5230;521;52;5;523;52;5
5246;5230;524;52;5;523;52;5
6111;6111;611;61;6;611;61;6
6112;6112;611;61;6;611;61;6
6113;6113;611;61;6;611;61;6
9214;6113;921;92;9;611;61;6
6114;6114;611;61;6;611;61;6
6121;6121;612;61;6;612;61;6
6122;6122;612;61;6;612;61;6
6123;6123;612;61;6;612;61;6
6121;6124;612;61;6;612;61;6
6122;6124;612;61;6;612;61;6
6123;6124;612;61;6;612;61;6
5164;6129;516;51;5;612;61;6
6129;6129;612;61;6;612;61;6
6130;6130;613;61;6;613;61;6
6210;6141;621;62;6;614;61;6
6210;6142;621;62;6;614;61;6
6221;6151;622;62;6;615;61;6
6222;6152;622;62;6;615;61;6
7541;6152;754;75;7;615;61;6
6223;6153;622;62;6;615;61;6
6224;6154;622;62;6;615;61;6
6310;6210;631;63;6;621;62;6
6320;6210;632;63;6;621;62;6
6330;6210;633;63;6;621;62;6
6340;6210;634;63;6;621;62;6
3121;7111;312;31;3;711;71;7
8111;7111;811;81;8;711;71;7
7542;7112;754;75;7;711;71;7
7113;7113;711;71;7;711;71;7
7111;7121;711;71;7;712;71;7
7112;7122;711;71;7;712;71;7
7113;7122;711;71;7;712;71;7
7114;7123;711;71;7;712;71;7
7115;7124;711;71;7;712;71;7
3123;7129;312;31;3;712;71;7
7111;7129;711;71;7;712;71;7
7119;7129;711;71;7;712;71;7
7121;7131;712;71;7;713;71;7
7122;7132;712;71;7;713;71;7
7123;7133;712;71;7;713;71;7
7124;7134;712;71;7;713;71;7
7125;7135;712;71;7;713;71;7
7126;7136;712;71;7;713;71;7
7411;7137;741;74;7;713;71;7
7131;7141;713;71;7;714;71;7
7132;7142;713;71;7;714;71;7
7133;7143;713;71;7;714;71;7
7544;7143;754;75;7;714;71;7
7211;7211;721;72;7;721;72;7
7212;7212;721;72;7;721;72;7
7213;7213;721;72;7;721;72;7
7214;7214;721;72;7;721;72;7
7215;7215;721;72;7;721;72;7
7541;7216;754;75;7;721;72;7
7221;7221;722;72;7;722;72;7
7222;7222;722;72;7;722;72;7
7223;7223;722;72;7;722;72;7
7224;7224;722;72;7;722;72;7
7231;7231;723;72;7;723;72;7
7234;7231;723;72;7;723;72;7
7232;7232;723;72;7;723;72;7
7127;7233;712;71;7;723;72;7
7233;7233;723;72;7;723;72;7
7412;7241;741;74;7;724;72;7
7421;7242;742;74;7;724;72;7
7422;7242;742;74;7;724;72;7
7421;7243;742;74;7;724;72;7
7422;7243;742;74;7;724;72;7
7422;7244;742;74;7;724;72;7
7413;7245;741;74;7;724;72;7
7422;7245;742;74;7;724;72;7
3214;7311;321;32;3;731;73;7
7311;7311;731;73;7;731;73;7
7312;7312;731;73;7;731;73;7
7313;7313;731;73;7;731;73;7
7314;7321;731;73;7;732;73;7
7315;7322;731;73;7;732;73;7
7549;7322;754;75;7;732;73;7
7316;7323;731;73;7;732;73;7
7316;7324;731;73;7;732;73;7
7317;7331;731;73;7;733;73;7
7319;7331;731;73;7;733;73;7
7318;7332;731;73;7;733;73;7
7321;7341;732;73;7;734;73;7
7322;7341;732;73;7;734;73;7
7321;7342;732;73;7;734;73;7
7321;7343;732;73;7;734;73;7
8132;7344;813;81;8;734;73;7
7323;7345;732;73;7;734;73;7
7322;7346;732;73;7;734;73;7
7511;7411;751;75;7;741;74;7
7512;7412;751;75;7;741;74;7
7513;7413;751;75;7;741;74;7
7514;7414;751;75;7;741;74;7
7515;7415;751;75;7;741;74;7
7516;7416;751;75;7;741;74;7
7521;7421;752;75;7;742;74;7
7522;7422;752;75;7;742;74;7
7523;7423;752;75;7;742;74;7
7317;7424;731;73;7;742;74;7
7318;7431;731;73;7;743;74;7
7318;7432;731;73;7;743;74;7
8152;7432;815;81;8;743;74;7
7531;7433;753;75;7;743;74;7
7531;7434;753;75;7;743;74;7
7532;7435;753;75;7;743;74;7
7533;7436;753;75;7;743;74;7
7534;7437;753;75;7;743;74;7
7535;7441;753;75;7;744;74;7
7536;7442;753;75;7;744;74;7
3121;8111;312;31;3;811;81;8
8111;8111;811;81;8;811;81;8
8112;8112;811;81;8;811;81;8
8113;8113;811;81;8;811;81;8
3135;8121;313;31;3;812;81;8
8121;8121;812;81;8;812;81;8
3135;8122;313;31;3;812;81;8
8121;8122;812;81;8;812;81;8
3135;8123;313;31;3;812;81;8
8121;8123;812;81;8;812;81;8
3135;8124;313;31;3;812;81;8
8121;8124;812;81;8;812;81;8
8181;8131;818;81;8;813;81;8
8181;8139;818;81;8;813;81;8
8172;8141;817;81;8;814;81;8
3139;8142;313;31;3;814;81;8
8171;8142;817;81;8;814;81;8
3139;8143;313;31;3;814;81;8
8171;8143;817;81;8;814;81;8
8131;8151;813;81;8;815;81;8
3133;8152;313;31;3;815;81;8
8131;8152;813;81;8;815;81;8
3133;8153;313;31;3;815;81;8
8131;8153;813;81;8;815;81;8
3133;8154;313;31;3;815;81;8
8131;8154;813;81;8;815;81;8
3134;8155;313;31;3;815;81;8
8131;8155;813;81;8;815;81;8
3133;8159;313;31;3;815;81;8
8131;8159;813;81;8;815;81;8
3131;8161;313;31;3;816;81;8
8182;8162;818;81;8;816;81;8
3132;8163;313;31;3;816;81;8
3122;8171;312;31;3;817;81;8
3139;8171;313;31;3;817;81;8
3122;8172;312;31;3;817;81;8
3139;8172;313;31;3;817;81;8
3122;8211;312;31;3;821;82;8
7223;8211;722;72;7;821;82;8
8114;8212;811;81;8;821;82;8
3122;8221;312;31;3;822;82;8
8131;8221;813;81;8;822;82;8
3122;8222;312;31;3;822;82;8
8131;8222;813;81;8;822;82;8
3122;8223;312;31;3;822;82;8
8122;8223;812;81;8;822;82;8
3122;8224;312;31;3;822;82;8
8132;8224;813;81;8;822;82;8
3122;8229;312;31;3;822;82;8
8131;8229;813;81;8;822;82;8
3122;8231;312;31;3;823;82;8
8141;8231;814;81;8;823;82;8
3122;8232;312;31;3;823;82;8
8142;8232;814;81;8;823;82;8
3122;8240;312;31;3;824;82;8
7523;8240;752;75;7;824;82;8
3122;8251;312;31;3;825;82;8
7322;8251;732;73;7;825;82;8
3122;8252;312;31;3;825;82;8
7323;8252;732;73;7;825;82;8
3122;8253;312;31;3;825;82;8
8143;8253;814;81;8;825;82;8
3122;8261;312;31;3;826;82;8
8151;8261;815;81;8;826;82;8
3122;8262;312;31;3;826;82;8
8152;8262;815;81;8;826;82;8
3122;8263;312;31;3;826;82;8
8153;8263;815;81;8;826;82;8
3122;8264;312;31;3;826;82;8
8154;8264;815;81;8;826;82;8
8157;8264;815;81;8;826;82;8
3122;8265;312;31;3;826;82;8
8155;8265;815;81;8;826;82;8
3122;8266;312;31;3;826;82;8
8156;8266;815;81;8;826;82;8
3122;8269;312;31;3;826;82;8
8159;8269;815;81;8;826;82;8
3122;8271;312;31;3;827;82;8
8160;8271;816;81;8;827;82;8
3122;8272;312;31;3;827;82;8
8160;8272;816;81;8;827;82;8
3122;8273;312;31;3;827;82;8
8160;8273;816;81;8;827;82;8
3122;8274;312;31;3;827;82;8
8160;8274;816;81;8;827;82;8
3122;8275;312;31;3;827;82;8
8160;8275;816;81;8;827;82;8
3122;8276;312;31;3;827;82;8
8160;8276;816;81;8;827;82;8
3122;8277;312;31;3;827;82;8
8160;8277;816;81;8;827;82;8
3122;8278;312;31;3;827;82;8
8160;8278;816;81;8;827;82;8
3122;8279;312;31;3;827;82;8
8160;8279;816;81;8;827;82;8
3122;8281;312;31;3;828;82;8
8211;8281;821;82;8;828;82;8
3122;8282;312;31;3;828;82;8
8212;8282;821;82;8;828;82;8
3122;8283;312;31;3;828;82;8
8212;8283;821;82;8;828;82;8
3122;8284;312;31;3;828;82;8
8219;8284;821;82;8;828;82;8
3122;8285;312;31;3;828;82;8
8219;8285;821;82;8;828;82;8
3122;8286;312;31;3;828;82;8
8219;8286;821;82;8;828;82;8
3122;8290;312;31;3;829;82;8
8183;8290;818;81;8;829;82;8
8189;8290;818;81;8;829;82;8
8219;8290;821;82;8;829;82;8
8311;8311;831;83;8;831;83;8
8312;8312;831;83;8;831;83;8
8321;8321;832;83;8;832;83;8
8322;8322;832;83;8;832;83;8
8331;8323;833;83;8;832;83;8
8332;8324;833;83;8;832;83;8
8341;8331;834;83;8;833;83;8
8342;8332;834;83;8;833;83;8
8343;8333;834;83;8;833;83;8
8344;8334;834;83;8;833;83;8
8350;8340;835;83;8;834;83;8
5212;9111;521;52;5;911;91;9
9520;9112;952;95;9;911;91;9
5243;9113;524;52;5;911;91;9
5244;9113;524;52;5;911;91;9
9510;9120;951;95;9;912;91;9
9111;9131;911;91;9;913;91;9
9112;9132;911;91;9;913;91;9
9412;9132;941;94;9;913;91;9
9121;9133;912;91;9;913;91;9
5153;9141;515;51;5;914;91;9
9122;9142;912;91;9;914;91;9
9123;9142;912;91;9;914;91;9
9129;9142;912;91;9;914;91;9
9621;9151;962;96;9;915;91;9
5414;9152;541;54;5;915;91;9
9621;9152;962;96;9;915;91;9
9629;9152;962;96;9;915;91;9
9623;9153;962;96;9;915;91;9
9611;9161;961;96;9;916;91;9
9612;9161;961;96;9;916;91;9
9613;9162;961;96;9;916;91;9
9622;9162;962;96;9;916;91;9
9624;9162;962;96;9;916;91;9
9211;9211;921;92;9;921;92;9
9212;9211;921;92;9;921;92;9
9213;9211;921;92;9;921;92;9
9214;9211;921;92;9;921;92;9
9215;9212;921;92;9;921;92;9
9216;9213;921;92;9;921;92;9
9311;9311;931;93;9;931;93;9
9312;9312;931;93;9;931;93;9
9313;9313;931;93;9;931;93;9
9329;9321;932;93;9;932;93;9
9612;9321;961;96;9;932;93;9
9321;9322;932;93;9;932;93;9
9329;9322;932;93;9;932;93;9
9331;9331;933;93;9;933;93;9
9332;9332;933;93;9;933;93;9
9333;9333;933;93;9;933;93;9
9334;9333;933;93;9;933;93;9
